Job Title,Salary Estimate,Rating,Company Name,Location,Size,Type of ownership,Industry,Revenue
Data Scientist,$90K-$109K,3.3,NAVEX Global,"Lake Oswego, OR",1001 - 5000 ,Company - Private,Computer Hardware & Software,$100 to $500 million 
Machine Learning Engineer,$90K-$109K,3.2,Triplebyte,Remote,51 - 200 ,Company - Private,Computer Hardware & Software,Unknown 
Machine Learning Engineer,$90K-$109K,3.2,Triplebyte,Remote,51 - 200 ,Company - Private,Computer Hardware & Software,Unknown 
Senior Data Engineer,$90K-$109K,4.9,Lendio,"Lehi, UT",201 - 500 ,Company - Private,Lending,$50 to $100 million 
Data Scientist,$90K-$109K,4.2,Upstart,"San Mateo, CA",201 - 500 ,Company - Private,Lending,Unknown 
Data Analyst,$90K-$109K,4.5,Envision LLC,"San Francisco, CA",201 - 500 ,Company - Private,Staffing & Outsourcing,$25 to $50 million 
Data Engineer,$90K-$109K,4.8,AppLovin,"Palo Alto, CA",201 - 500 ,Company - Private,Video Games,Unknown 
Data Integration and Modeling Engineer,$90K-$109K,3.8,ISO New England,"Holyoke, MA",501 - 1000 ,Nonprofit Organization,Utilities,Unknown 
Tableau Data Engineer 20-0117,$90K-$109K,3.7,Relativity,"Chicago, IL",1001 - 5000 ,Company - Private,Enterprise Software & Network Solutions,Unknown 
Senior Data Scientist,$90K-$109K,3.3,Tempo Automation,"San Francisco, CA",51 - 200 ,Company - Private,Electrical & Electronic Manufacturing,$5 to $10 million 
AI Data Scientist,$90K-$109K,3.3,MITRE,"McLean, VA",5001 - 10000 ,Nonprofit Organization,Federal Agencies,$1 to $2 billion 
Machine Learning Engineer,$90K-$109K,5.0,Expedition Technology,"Herndon, VA",1 - 50 ,Company - Private,Aerospace & Defense,$10 to $25 million 
Research Scientist Patient Preferences (Remote),$90K-$109K,3.8,Evidera,"Bethesda, MD",501 - 1000 ,Subsidiary or Business Segment,Biotech & Pharmaceuticals,$100 to $500 million 
Data Scientist,$90K-$109K,3.4,Plymouth Rock Assurance,"Woodbridge, NJ",1001 - 5000 ,Company - Private,Insurance Carriers,$10 to $25 million 
